speciesKey,species,scientificName,genus,family,order,class,numberOfOccurrences,iucnRedListCategory
5289693,Setaria pumila,Setaria pumila (Poir.) Roem. & Schult.,Setaria,Poaceae,Poales,Liliopsida,11421,
11148635,Tiarella stolonifera,Tiarella stolonifera G.L.Nesom,Tiarella,Saxifragaceae,Saxifragales,Magnoliopsida,11413,
3098912,Cosmos bipinnatus,Cosmos bipinnatus Cav.,Cosmos,Asteraceae,Asterales,Magnoliopsida,11411,
5415040,Olea europaea,Olea europaea L.,Olea,Oleaceae,Lamiales,Magnoliopsida,11397,
5289861,Bouteloua curtipendula,Bouteloua curtipendula (Michx.) Torr.,Bouteloua,Poaceae,Poales,Liliopsida,11396,
3188796,Circaea canadensis,Circaea canadensis (L.) Hill,Circaea,Onagraceae,Myrtales,Magnoliopsida,11388,
3046890,Sisymbrium officinale,Sisymbrium officinale (L.) Scop.,Sisymbrium,Brassicaceae,Brassicales,Magnoliopsida,11352,
7701037,Nasturtium officinale,Nasturtium officinale R.Br.,Nasturtium,Brassicaceae,Brassicales,Magnoliopsida,11348,LC
2720080,Scirpus sylvaticus,Scirpus sylvaticus L.,Scirpus,Cyperaceae,Poales,Liliopsida,11213,LC
2703777,Bromus hordeaceus,Bromus hordeaceus L.,Bromus,Poaceae,Poales,Liliopsida,11213,
2883094,Rhododendron maximum,Rhododendron maximum L.,Rhododendron,Ericaceae,Ericales,Magnoliopsida,11203,LC
3146632,Erigeron strigosus,Erigeron strigosus Muhl. ex Willd.,Erigeron,Asteraceae,Asterales,Magnoliopsida,11194,
3118430,Tanacetum parthenium,Tanacetum parthenium (L.) Sch.Bip.,Tanacetum,Asteraceae,Asterales,Magnoliopsida,11193,
7893492,Cleomella arborea,Cleomella arborea (Nutt.) Roalson & J.C.Hall,Cleomella,Cleomaceae,Brassicales,Magnoliopsida,11188,
5389017,Solidago gigantea,Solidago gigantea Aiton,Solidago,Asteraceae,Asterales,Magnoliopsida,11182,
5414976,Bellardia trixago,Bellardia trixago (L.) All.,Bellardia,Orobanchaceae,Lamiales,Magnoliopsida,11180,
5389012,Solidago flexicaulis,Solidago flexicaulis L.,Solidago,Asteraceae,Asterales,Magnoliopsida,11176,
3039203,Parthenocissus inserta,Parthenocissus inserta (A.Kern.) Fritsch,Parthenocissus,Vitaceae,Vitales,Magnoliopsida,11169,
3065239,Euphorbia amygdaloides,Euphorbia amygdaloides L.,Euphorbia,Euphorbiaceae,Malpighiales,Magnoliopsida,11167,
7296321,Viola riviniana,Viola riviniana Rchb.,Viola,Violaceae,Malpighiales,Magnoliopsida,11151,
5383717,Nyssa sylvatica,Nyssa sylvatica Marshall,Nyssa,Nyssaceae,Cornales,Magnoliopsida,11150,LC
3094900,Onopordum acanthium,Onopordum acanthium L.,Onopordum,Asteraceae,Asterales,Magnoliopsida,11146,
7594161,Dermatophyllum secundiflorum,Dermatophyllum secundiflorum (Ortega) Gandhi & Reveal,Dermatophyllum,Fabaceae,Fabales,Magnoliopsida,11134,LC
